question,position,jobTitle,company,year,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you walk us through the process of developing the first mobile version of the LinkedIn app?,Product Manager,Product Management Intern,NVIDIA,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you walk us through the process of developing the first mobile version of the LinkedIn app?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide an example of a DevOps implementation you have worked on?,DevOps Engineer,Devops Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide an example of a DevOps implementation you have worked on?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How to calculate the result of dividing two unsigned integers a and b and rounding to the nearest integer without using floating point operations?,Software Engineer,Software Engineer,NVIDIA,2011,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How to calculate the result of dividing two unsigned integers a and b and rounding to the nearest integer without using '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write a Jenkins pipeline to perform continuous integration?,DevOps Engineer,Devops Engineer,NVIDIA,2020,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you write a Jenkins pipeline to perform continuous integration?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Tell me about a time you discovered a critical GPU performance regression late in a release cycle. How did you identify the root cause, prioritize fixes, and communicate trade-offs to engineering, product, and QA teams?",Software Engineer,Senior Software Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you discovered a critical GPU performance regression late in a release cycle. How did you identify '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Give an example of when you led cross-functional collaboration between silicon, driver, and compiler teams to deliver a new architecture feature. What challenges arose and how did you resolve conflicting priorities?",Systems Architect,Principal System Architect,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Give an example of when you led cross-functional collaboration between silicon, driver, and compiler teams to deliver a '. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"Tell me about a time you influenced a product roadmap without formal authority. What approach did you take to get buy-in from product, marketing, and executive stakeholders?",Product Manager,Lead Product Manager,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you influenced a product roadmap without formal authority. What approach did you take to get buy-in'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a moment when you had to debug a hardware-software integration bug that only appeared under large-scale data-center workloads. How did you reproduce it and ensure it wouldn't recur?,Firmware Engineer,Senior Firmware Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a moment when you had to debug a hardware-software integration bug that only appeared under large-scale data-ce'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Tell me about a time you led a team through an ambiguous project with little precedent (e.g., new AI accelerator). How did you set goals, measure progress, and create alignment?",Engineering Manager,Senior Engineering Manager,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Tell me about a time you led a team through an ambiguous project with little precedent (e.g., new AI accelerator). How d'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"Give an example of when you received tough feedback on your design or code. How did you respond, what changes did you make, and what was the outcome?",Software Engineer,Software Engineer II,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Give an example of when you received tough feedback on your design or code. How did you respond, what changes did you ma'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Tell me about a time you had to resolve a conflict between two senior technical leads with different visions for a feature. How did you facilitate a solution and what was the result?,Technical Program Manager,Technical Program Manager,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you had to resolve a conflict between two senior technical leads with different visions for a featu'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a project where shipping early and iterating was more valuable than waiting for a perfect design. How did you determine the right scope and manage customer expectations?,Product Manager,Product Manager,NVIDIA,2024,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Describe a project where shipping early and iterating was more valuable than waiting for a perfect design. How did you d'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give an example of a time you built or improved an automated CI/CD pipeline for GPU drivers or firmware. What pain points did it address and how did you measure success?,DevOps Engineer,Cloud Infrastructure Engineer,NVIDIA,2025,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Give an example of a time you built or improved an automated CI/CD pipeline for GPU drivers or firmware. What pain point'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you mentored a junior engineer who was struggling to contribute effectively. What actions did you take and how did their performance change?,Engineering Manager,Engineering Manager,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you mentored a junior engineer who was struggling to contribute effectively. What actions did you t'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a time you optimized a critical code path for throughput or latency. What profiling tools or metrics did you use and what was the measurable impact?,Performance Engineer,Performance Software Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a time you optimized a critical code path for throughput or latency. What profiling tools or metrics did you us'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a time when intellectual honesty or data contradicted a popular idea on your team. How did you present evidence and what was the impact on the decision?,AI Research Scientist,AI Research Scientist,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a time when intellectual honesty or data contradicted a popular idea on your team. How did you present evidence'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a situation where you had to prioritize technical debt versus new features under pressure to meet a go-to-market date. What criteria did you use and what decision did you make?,Software Engineer,Staff Software Engineer,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a situation where you had to prioritize technical debt versus new features under pressure to meet a go-to-'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe how you handled a high-severity customer escalation for a cloud GPU failure impacting a major partner. What steps did you take to stabilize the environment and restore trust?,Customer Solutions,Field Application Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe how you handled a high-severity customer escalation for a cloud GPU failure impacting a major partner. What ste'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Give an example of when you contributed to or led an innovation that resulted in a patent, publication, or open-source impact. How did you navigate IP and collaboration constraints?",Research Engineer,Senior Research Engineer,NVIDIA,2024,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.","Identify the main concept in: 'Give an example of when you contributed to or led an innovation that resulted in a patent, publication, or open-source i'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Tell me about a time you had to get a cross-functional team to adopt a new debugging or profiling tool. How did you demonstrate value and handle resistance?,Software Engineer,Senior Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you had to get a cross-functional team to adopt a new debugging or profiling tool. How did you demo'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a situation where you had to make a difficult hiring decision for a high-performing but culturally misaligned candidate. What factors did you weigh and what did you decide?,Hiring Manager,Director of Engineering,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you had to make a difficult hiring decision for a high-performing but culturally misaligned c'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give an example of when you solved a supply chain or manufacturing bottleneck that threatened a GPU product launch. How did you coordinate with vendors and internal teams?,Manufacturing,Manufacturing Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give an example of when you solved a supply chain or manufacturing bottleneck that threatened a GPU product launch. How '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you had to re-architect a system to scale from prototype to production for large AI workloads. What were the biggest surprises and how did you address them?,Systems Engineer,Senior Systems Engineer,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you had to re-architect a system to scale from prototype to production for large AI workloads. What'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give an example of a time you led an all-hands design review for a critical architectural decision. How did you structure the review and ensure decisions were well documented and actionable?,Architect,Lead Architect,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give an example of a time you led an all-hands design review for a critical architectural decision. How did you structur'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you had to prioritize work across multiple products or roadmaps as a technical leader. How did you communicate trade-offs to stakeholders?,Program Manager,Senior Program Manager,NVIDIA,2025,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Tell me about a time you had to prioritize work across multiple products or roadmaps as a technical leader. How did you '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Describe a time when you advocated for diversity, equity, and inclusion within your engineering organization. What initiative did you take and what were the outcomes?",People Ops,Engineering Manager,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Describe a time when you advocated for diversity, equity, and inclusion within your engineering organization. What initi'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Give an example of when you spotted an opportunity to improve GPU utilization for internal cloud cost savings. How did you implement the change and measure ROI?,Cloud Cost Analyst,Cloud Infrastructure Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give an example of when you spotted an opportunity to improve GPU utilization for internal cloud cost savings. How did y'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Tell me about a time you had to make a fast, high-stakes technical decision during a live incident. How did you weigh risk vs. speed and what was the follow-up?",Site Reliability,SRE Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Tell me about a time you had to make a fast, high-stakes technical decision during a live incident. How did you weigh ri'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Describe an instance where you had to convince engineering leadership to invest in long-term tooling or infrastructure work instead of short-term feature development. What arguments and data did you present?,Infrastructure,Principal Engineer,NVIDIA,2025,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Describe an instance where you had to convince engineering leadership to invest in long-term tooling or infrastructure w'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give an example of when you resolved a cross-cultural or distributed team communication breakdown. How did you adapt processes or rituals to improve collaboration?,Engineering Manager,Manager of Distributed Teams,NVIDIA,2023,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give an example of when you resolved a cross-cultural or distributed team communication breakdown. How did you adapt pro'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you worked with external partners (OEMs/Hyperscalers) to optimize performance for a specific workload. How did you align goals and measure success?,Solutions Architect,Senior Solutions Architect,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you worked with external partners (OEMs/Hyperscalers) to optimize performance for a specific worklo'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a situation where you had to balance speed of iteration and reproducibility in ML experiments. How did you institutionalize best practices for the team?,ML Engineer,Machine Learning Engineer,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you had to balance speed of iteration and reproducibility in ML experiments. How did you inst'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you had to negotiate scope or timelines with a demanding partner or customer while preserving technical quality. What negotiation tactics worked?,Customer Engineering,Principal Field Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you had to negotiate scope or timelines with a demanding partner or customer while preserving techn'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a time you eliminated a recurring source of bugs by changing how your team designed or reviewed code. What process did you change and how did you measure the improvement?,Quality Engineering,Senior QA Engineer,NVIDIA,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a time you eliminated a recurring source of bugs by changing how your team designed or reviewed code. What proc'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Give an example of when you had to drive consensus across product, legal, and engineering on an open-source release. How did you balance business, legal, and technical concerns?",Open Source Program,Open Source Program Manager,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Give an example of when you had to drive consensus across product, legal, and engineering on an open-source release. How'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Describe a time when you challenged assumptions during a post-mortem and changed the remediation plan as a result. What was the original assumption and what evidence caused you to change course?,Reliability,Principal Reliability Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a time when you challenged assumptions during a post-mortem and changed the remediation plan as a result. What '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you successfully onboarded a new technology or library that dramatically increased team velocity. How did you measure adoption and impact?,Software Engineer,Staff Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you successfully onboarded a new technology or library that dramatically increased team velocity. H'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Give an example of when you had to hire, scale, or reorganize a team quickly to meet an aggressive roadmap. How did you maintain culture and productivity during the transition?",Leadership,Director of Engineering,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Give an example of when you had to hire, scale, or reorganize a team quickly to meet an aggressive roadmap. How did you '. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Tell me about a time you drove a cross-team optimization that reduced thermal or power issues in a system design. How did you validate improvements across hardware and software?,Thermal/Power,Power Systems Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Tell me about a time you drove a cross-team optimization that reduced thermal or power issues in a system design. How di'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give an example of a time you had to incorporate customer telemetry or usage data to change product priorities. How did you build the business case and get stakeholders to pivot?,Data Science,Senior Data Scientist,NVIDIA,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give an example of a time you had to incorporate customer telemetry or usage data to change product priorities. How did '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a situation where you had to give difficult but necessary feedback to a peer. How did you prepare for the conversation and what was the outcome?,Team Lead,Team Lead Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you had to give difficult but necessary feedback to a peer. How did you prepare for the conve'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Tell me about a time you improved reproducible benchmarking for AI models across multiple GPUs or nodes. What tooling or processes did you introduce?,Benchmarking,Benchmark Engineer,NVIDIA,2024,Operating System,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Tell me about a time you improved reproducible benchmarking for AI models across multiple GPUs or nodes. What tooling or'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you tell me about your technical skills and experience?,Software Engineer,Software Engineer,Barclays; NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you tell me about your technical skills and experience?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe a project you have worked on?,Software Engineer,Assistant Software Engineer (ASE),ADP; AICS; AMD (ADVANCED MICRO DEVICES); Accenture; Adyen; Alarm.com; Amazon; Amdocs; American Express; Apple; Atlassian; Atos; Bajaj Finserv; Bentley Systems; Block; Bloomberg LP; Blue Yonder; CGI; Capgemini; Carelon Global Solutions; Caterpillar Inc.; Cerner Corporation; Cisco; Citadel Securities; Coforge; Cognizant; Cybage ; DMI; DXC Technology; Databricks; Dell Technologies; Deloitte; EXL; Epic; Epsilon; Ericsson; Ernst & Young (EY); FactSet; Fiserv; Flipkart; Ford Motor Company; GEICO; Genpact; Globallogic; HCLTech; HSBC; Hewlett Packard Enterprise; Hexaware Technologies; HighRadius; Huawei; IBM ; IGATE; Infogain; Infosys; Intel; Intuit; JPMorgan Chase & Co.; Jio; KLA; KPIT; Klaviyo; MathWorks; McKinsey & Company; Meta; Micron Technology; Microsoft; Mphasis; NCS Group; NVIDIA; Nagarro; NatWest Group; NetApp; Newgen Software; Optiver; Oracle; PayPal; Persistent Systems; Pfizer; Pinterest; Plaid; Publicis Sapient; PwC ; Qualcomm; Quantiphi; Rakuten; Rippling; Roblox; SAP; Salesforce; Samsung; ServiceNow; Shopify; Smartsheet; Societe Generale; Sopra Steria; Spotify; Standard Chartered; Stripe; Tata Consultancy Services; Tata Elxsi; Tech Mahindra; The Walt Disney Company; Thumbtack; TikTok ; Tokopedia; UST; Uber; ValueLabs; Virtusa; WNS; Walmart Global Tech; Wayfair; Wipro ; Xerox; Zensar; eBay; onXmaps,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe a project you have worked on?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is polymorphism?,Software Engineer,Senior Software Engineer,ADP; AT&T; Accenture; American Airlines; Antra; Apple; Atlassian; Autodesk; Avanade; Bajaj Finserv; Bank of America; Birlasoft; Bloomberg LP; Blue Yonder; CGI; Capgemini; Carelon Global Solutions; Chewy; Cisco; Citrix; Coforge; Cognizant; DBS Bank; Deloitte; Deutsche Bank; EPAM Systems ; Ericsson; FIS; Fidelity Investments; Fiserv; GE Healthcare; General Dynamics Information Technology; General Motors; Goldman Sachs; HCLTech; Hexaware Technologies; IBM ; Infosys; JPMorgan Chase & Co.; L3Harris; Morgan Stanley; Mphasis; NCR Corporation; NTT Data; NVIDIA; Northrop Grumman; OpenText; Oracle; PayPal; Persistent Systems; Publicis Sapient; Raytheon Technologies; SAP; Salesforce; ServiceNow; Siemens; Siemens Healthineers; Societe Generale; Tata Consultancy Services; Tech Mahindra; Teradata; The Johns Hopkins University Applied Physics Laboratory; UKG (Ultimate Kronos Group); Verizon; Visa; Workday; Zoox,2022,General CS,"Polymorphism is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is polymorphism?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What data structures are you familiar with?,Software Engineer,Senior Software Engineer,Adobe; Amazon; American Express; Atos; BlackRock; Boeing; CRISIL; Capgemini; Chevron; Cognizant; Cybage ; FactSet; Goldman Sachs; Google; HCLTech; HERE Technologies; Hudson River Trading; Indeed; Infosys; Intel; Kyndryl; Meta; Mphasis; NTT Data; NVIDIA; NetApp; Netflix; Nokia; Oracle; Proofpoint; Publicis Sapient; Quantiphi; Samsung; Tata Consultancy Services; Tech Mahindra; Thoughtworks; Tokopedia; UST; Verily; Veritas Technologies; Virtusa; Yahoo,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What data structures are you familiar with?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how a Binary Search Tree works?,Software Engineer,Software Engineer,Amazon; Amazon Web Services (AWS); Bloomberg LP; Capital One; Epsilon; Google; Intel; Intuit; Jump Trading; LinkedIn; McKinsey & Company; Meta; Microsoft; NVIDIA; Oracle; Orange; PayPal; TikTok ; Uber; Visa; Yahoo; Zoho,2017,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how a Binary Search Tree works?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between an abstract class and an interface?,Software Engineer,Associate Software Engineer,Accenture; Altimetrik; Antra; Bentley Systems; BlackRock; Capgemini; Capital One; Citi; Cognizant; DXC Technology; Deloitte; Deutsche Bank; EPAM Systems ; Ericsson; FIS; Fidelity Investments; Globant; HARMAN; HCLTech; HSBC; Hexaware Technologies; IBM ; IGATE; ITC Infotech; Infogain; Infosys; KPIT; Mastercard; Morningstar; Mphasis; NCR Corporation; NICE; NTT Data; NVIDIA; Nagarro; Oracle; PayPal; Persistent Systems; Rakuten; Salesforce; Siemens; Sysdig; Tata Consultancy Services; Thomson Reuters; Twitter; UPS; Virtusa; Visa; Wayfair; Wipro ; Zühlke,2018,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between an abstract class and an interface?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you reverse a string?,Software Engineer,Software Engineer,7-Eleven; ADP; Adobe; Alarm.com; Amazon; Amdocs; American Express; AppFolio; Apple; Bajaj Finserv; Bentley Systems; BlackRock; Block; Bloomberg LP; CGI; CME Group; CVS Health; Capgemini; Capital One; Carelon Global Solutions; Cerner Corporation; Cisco; Citi; Citrix; Coforge; Cognizant; DXC Technology; EPAM Systems ; Ericsson; Expedia Group; Fidelity Investments; Genesys; GoDaddy; Goldman Sachs; HARMAN; HCLTech; Hexaware Technologies; IBM ; IHS Markit; Indeed; Informatica; Infosys; Instructure; Intel; Intuit; JPMorgan Chase & Co.; KPIT; Meta; Micron Technology; Microsoft; Mitchell International; Morgan Stanley; NCR Corporation; NIO; NVIDIA; Nokia; Oracle; Paycom; Qualcomm; SAP; Siemens; SiriusXM; Societe Generale; Sopra Steria; Synechron; Tata Consultancy Services; The Washington Post; Titansoft ; UKG (Ultimate Kronos Group); Verizon; Visa; Wayfair; Wipro ; Workday,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you reverse a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide details about the projects you have worked on?,Software Engineer,Software Engineer,Accenture; Atos; Bank of America; Capgemini; Cerner Corporation; GoTo Financial; Goldman Sachs; HARMAN; HCLTech; IQVIA; Infosys; KPMG; Meta; NVIDIA; Nestlé; Oracle; Siemens; Snap Inc.; Tata Consultancy Services; Ubisoft; Western Digital; Wipro ,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide details about the projects you have worked on?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are the four principles of Object Oriented Programming?,Software Engineer,Software Engineer Program,Infosys; JPMorgan Chase & Co.; NCR Corporation; NVIDIA,2021,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'What are the four principles of Object Oriented Programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with Data Structures and Algorithms?,Software Engineer,SDE-III (UI),Accenture; Affirm; Altimetrik; Amadeus; Amdocs; Autodesk; BYJU's; Circles.Life; Cognizant; Cohesity; Coinbase; Datadog; Delhivery; Dell Technologies; Expedia Group; Flipkart; Google; IBM ; Indeed; Infosys; Infosys BPM; Meta; Microsoft; Morgan Stanley; NVIDIA; Nagarro; Paytm; Rippling; Siemens; Standard Chartered; Target; Tata Consultancy Services; Tech Mahindra; Thumbtack; Walmart Global Tech; Yahoo,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with Data Structures and Algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how linked lists work?,Software Engineer,Senior Software Engineer,Amazon; Bloomberg LP; Capgemini; Capital One; Ericsson; Expedia Group; FactSet; Freshworks; Google; HCLTech; Intel; Lowe's Companies; Meta; Microsoft; NTT Data; NVIDIA; Oracle; PayPal; Philips; Qualcomm; SAP; Salesforce; Samsung; TEKsystems; Tata Consultancy Services; Tata Elxsi; Tech Mahindra; Thoughtworks; TikTok ; VMware; Virtusa; Wipro ; Zynga,2021,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how linked lists work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with data structures?,Software Engineer,IT Software Engineer,"ADP; Accenture; Adobe; Airtel; Akamai Technologies; Alkami; Altimetrik; Amadeus; Amazon; Amdocs; Apple; Atos; BNY Mellon; BlackRock; Block; Bloomberg LP; CGI; Capgemini; Chegg; Cisco; Citi; Citrix; Cognizant; Compass; Credit Karma; CrimsonLogic ; Cruise; Cybage ; DXC Technology; Dassault Systèmes; Databricks; Dell Technologies; Deloitte; EPAM Systems ; Epic; F5; FactSet; Fiserv; Flip; Flipkart; GE Healthcare; Goldman Sachs; Google; HCLTech; HERE Technologies; Halodoc; Hexaware Technologies; Honeywell; Huawei; IBM ; IGATE; Informatica; Infosys; Intel; JPMorgan Chase & Co.; Juniper Networks; LinkedIn; Microsoft; Morgan Stanley; Mphasis; NTT Data; NVIDIA; NatWest Group; Netflix; Newgen Software; Nokia; Nutanix; Okta, Inc.; Optiver; Oracle; Palantir; Palo Alto Networks; PayPal; Paytm; Persistent Systems; Poshmark; Qualcomm; SAP; Salesforce; Samsung; ServiceNow; Societe Generale; SpaceX; Target; Tata Consultancy Services; Tech Mahindra; Texas Instruments; Thoughtworks; Tokopedia; Toyota Research Institute; Trimble Inc.; Uber; UiPath; ValueLabs; Verizon; Visa; Wipro ; Yahoo; Zensar; Zoho",2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your experience with data structures?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with Git?,Software Engineer,Software Engineer,Capgemini; Dell Technologies; Hitachi Vantara; Morgan Stanley; NVIDIA; SAP; Tata Consultancy Services; UST; Zendesk,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your experience with Git?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between a pointer and a reference?,Software Engineer,Programmer Analyst Trainee,Bloomberg LP; Cognizant; Cybage ; FIS; NICE; NVIDIA; Nokia; Northrop Grumman,2019,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between a pointer and a reference?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between threads and processes?,Software Engineer,Software Engineer,Adobe; Applied Materials; BlackRock; Cargill; Cisco; Citadel Securities; Citrix; Cloudflare; Cognizant; HP; NVIDIA; Qualcomm; Two Sigma,2020,Operating System,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between threads and processes?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with C programming?,Software Engineer,Associate Software Engineer,Arm; Cognizant; Globallogic; HCLTech; Infineon Technologies; Infosys; NVIDIA; Nokia; Starbucks Coffee Singapore; Tata Consultancy Services; Tata Elxsi; Tech Mahindra; Verizon; Wipro ; Zoho,2014,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with C programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
